Home,HxG,Score,AxG,Away,HPoss,APoss,HPass,APass,HSoT,ASoT,Hsave,ASave,HPlayer1,HPlayer2,HPlayer3,APlayer1,APlayer2,APlayer3,HRank,ARank,HKP,AKP,HxA,AxA,H1/3,A1/3,HProg,AProg
Club Brugge be,1.6,3–0,0.2,ru Zenit,50,50,79,78,4,0,0,2,7.8,7.7,7.7,6.9,6.8,6.8,43,27,7,4,0.5,0.2,31,24,39,29
Juventus it,3,3–0,0.6,ua Dynamo Kyiv,53,47,86,87,7,3,3,4,8.9,8.6,7.9,7,7,6.8,3,32,17,5,2.6,0.5,36,31,38,31
Dortmund de,1.4,1–1,1.6,it Lazio,56,44,90,84,4,5,5,3,7.6,7.5,7.5,7.6,7.2,7.2,12,31,9,6,1,0.6,45,27,41,34
Ferencváros hu,0.8,0–3,3.5,es Barcelona,38,62,85,91,2,4,2,2,7.3,7.2,6.9,9,7.7,7.6,113,2,4,16,0.4,2.7,10,65,20,46
Sevilla es,1.2,0–4,2.2,eng Chelsea,55,45,84,82,3,5,2,3,7.2,7.1,6.9,10,7.8,7.5,8,13,12,12,0.5,1.4,23,19,29,27
Lazio it,2.8,2–2,0.9,be Club Brugge,51,49,85,80,7,3,1,6,7.5,7.5,7.4,8.5,7.4,7.4,31,43,11,4,1.3,0.2,30,36,42,29
Zenit ru,1.2,1–2,1.6,de Dortmund,46,54,80,85,5,5,3,4,7.5,7.3,7.1,7.9,7.8,7.7,27,12,13,13,1,1.1,24,51,29,36
Chelsea eng,1.9,1–1,0.7,ru Krasnodar,63,37,86,76,4,2,1,4,8,7.7,7.4,7.3,7.1,7.1,13,44,13,6,1,0.7,46,10,47,24
Barcelona es,1,0–3,2.6,it Juventus,58,42,91,83,7,2,1,7,7.6,7.2,7.2,8.5,8.3,8,2,3,16,7,0.8,0.6,65,28,62,21
Rennes fr,2.4,1–3,0.8,es Sevilla,51,49,82,84,5,5,2,5,8,7.7,7.2,8,7.7,7.7,75,8,12,6,1,0.8,39,24,38,18
RB Leipzig de,1.3,3–2,1.8,eng Manchester Utd,45,55,75,79,4,7,7,1,8.4,7.9,7.4,8.7,7.3,7.2,21,9,8,13,1.3,0.8,22,33,25,38
Dynamo Kyiv ua,0.3,1–0,0.9,hu Ferencváros,43,57,73,77,2,2,2,1,7.8,7.5,7.4,6.9,6.9,6.9,32,113,2,6,0.2,0.7,16,30,21,32
Ajax nl,0.8,0–1,0.9,it Atalanta,64,36,83,73,2,1,0,2,7.5,7,6.9,7.8,7.7,7.4,19,26,5,7,0.6,0.8,33,18,52,26
Paris S-G fr,3.6,5–1,1,tr Başakşehir,68,32,91,77,8,4,3,4,10,8.6,8.3,6.9,6.8,6.8,7,59,15,5,2.4,0.4,52,12,56,19
Midtjylland dk,2.3,1–1,0.9,eng Liverpool,50,50,74,75,5,4,3,5,7.8,7.5,7.5,7.4,7.3,7.2,112,10,15,4,1.3,0.3,32,18,33,23
Manchester City eng,2.6,3–0,0.6,fr Marseille,52,48,87,85,8,2,2,6,8.1,7.5,7.5,7.2,7.1,7.1,6,55,9,6,1.4,0.5,41,22,63,25
Real Madrid es,1.7,2–0,0.3,de M'Gladbach,64,36,89,86,7,1,1,4,8.9,8.3,8.3,7.5,7.3,6.9,4,47,17,5,1.6,0.3,39,25,40,24
Bayern Munich de,1.5,2–0,0.6,ru Loko Moscow,69,31,86,73,7,3,3,5,8.2,7.8,7.5,7.3,7,7,1,51,17,4,1.4,0.4,68,13,62,18
RB Salzburg at,1.6,0–2,0.5,es Atlético Madrid,56,44,77,70,2,4,2,2,7.5,7.4,7.1,8.1,7.5,7.4,22,5,14,4,1.4,0.4,47,16,60,29
Inter it,1.5,0–0,0.4,ua Shakhtar,56,44,82,82,4,3,3,4,7.8,7.5,7.5,7.9,7.4,7.4,25,17,12,5,1,0.2,54,15,41,14
Olympiacos gr,0.7,0–2,1,pt Porto,56,44,79,76,1,2,1,1,6.9,6.8,6.7,7.8,7.6,7.5,37,14,6,3,0.7,0.1,29,20,33,19
Barcelona,2.36,0-0,2.23,Barcelona,61.33333333,63,91,89.33333333,10.33333333,4.333333333,2.666666667,1.666666667,8.366666667,7.7,7.5,8.9,7.633333333,7.533333333,2,2,16,12,1.533333333,1.6,64.66666667,57,54.66666667,46.33333333
Paris Saint Germain,1.9,0-0,2.7,Paris Saint Germain,55.66666667,53.66666667,83.66666667,82.66666667,4.666666667,3.666666667,3.333333333,3.666666667,8.333333333,7.8,7.566666667,8.5,7.7,7.433333333,7,7,10.33333333,7.666666667,1.2,1.566666667,30.33333333,30.66666667,35,34.66666667
RB Leipzig,1.466666667,0-0,1.166666667,RB Leipzig,45.33333333,56.33333333,76,80.66666667,4.666666667,4,3.333333333,1.666666667,8.233333333,7.833333333,7.4,7.666666667,7.533333333,7.133333333,21,21,9,12.33333333,0.933333333,0.966666667,25,29.33333333,33.66666667,41.33333333
Liverpool,1.366666667,0-0,1.866666667,Liverpool,53.33333333,52.66666667,83.66666667,78.66666667,2,7.333333333,2.333333333,4.666666667,7.8,7.4,7.166666667,8.366666667,7.833333333,7.7,10,10,7,10,0.966666667,1.566666667,35.66666667,31,42,41
Porto,1.2,0-0,1.133333333,Porto,39,40.33333333,76,76.33333333,3.333333333,3,2.666666667,1.666666667,8.3,7.8,7.5,7.833333333,7.266666667,7.166666667,14,14,4.666666667,3.666666667,0.7,0.266666667,13.33333333,17.33333333,22.33333333,19.66666667
Juventus,1.5,0-0,2.233333333,Juventus,53.33333333,49.33333333,86.66666667,86.66666667,4.333333333,5.333333333,2,4.333333333,8.3,7.8,7.5,8.533333333,7.9,7.7,3,3,12.66666667,8.666666667,1.233333333,0.9,46,35.33333333,40,37.33333333
Sevilla,1.933333333,0-0,0.833333333,Sevilla,61,54.66666667,84.66666667,83,7,5,1.666666667,3.666666667,8.133333333,7.966666667,7.566666667,7.866666667,7.633333333,7.466666667,8,8,16,8.666666667,1.233333333,0.633333333,39,32.33333333,34,29
Dortmund,1.666666667,0-0,1.9,Dortmund,59,57.33333333,88.33333333,86,5.333333333,6,1.666666667,3.333333333,8.033333333,7.9,7.5,8.166666667,7.733333333,7.433333333,12,12,11.66666667,10.33333333,1.066666667,1.466666667,59,43.66666667,51,40.66666667
Lazio,2.2,0-0,1.133333333,Lazio,45,45.33333333,82.66666667,82,5.666666667,3.666666667,3.666666667,2,8.133333333,7.7,7.466666667,7.966666667,7.5,7.3,31,31,10,7,1.333333333,0.633333333,27,24.66666667,34.66666667,28.66666667
Bayern Munich,1.533333333,0-0,2.066666667,Bayern Munich,62.33333333,59.66666667,84.33333333,83.66666667,5.666666667,4.333333333,4.666666667,5,8.7,7.9,7.466666667,8.3,7.7,7.6,1,1,11.33333333,12.33333333,1.266666667,1.433333333,45.33333333,43.33333333,47.33333333,44.66666667
Atletico Madrid,1.666666667,0-0,0.7,Atletico Madrid,53.66666667,50,81.33333333,76.33333333,5.333333333,3,1.333333333,1,8.1,7.633333333,7.333333333,7.533333333,7.2,7.133333333,5,5,11,7,1.4,0.566666667,34.33333333,34.33333333,42,43.66666667
Chelsea,1.733333333,0-0,2.233333333,Chelsea,54.66666667,54.66666667,84.33333333,84,3.333333333,5.333333333,1.666666667,3.333333333,8.033333333,7.533333333,7.366666667,8.633333333,7.666666667,7.533333333,13,13,7.333333333,10.33333333,0.9,1.366666667,43,27.33333333,41.33333333,38.66666667
Gladbach,1.766666667,0-0,1.266666667,Gladbach,45,42.33333333,82.66666667,81.66666667,5,4,2,2.666666667,8.5,7.733333333,7.466666667,8.333333333,7.7,7.333333333,47,47,8,8.333333333,1.1,0.766666667,19.33333333,23,29,25
Manchester City,2.133333333,0-0,2.033333333,Manchester City,59,63.33333333,86,87.33333333,6.666666667,6.666666667,1.333333333,0.666666667,7.933333333,7.6,7.466666667,8.366666667,7.733333333,7.533333333,6,6,10.33333333,11,1.433333333,1.366666667,41.66666667,53,46.66666667,52.66666667
Atalanta,1.5,0-0,1.833333333,Atalanta,52.33333333,45,78.33333333,79.33333333,7,5,4.666666667,1.666666667,8.266666667,7.566666667,7.266666667,7.933333333,7.766666667,7.5,26,26,11.33333333,8.666666667,1.3,1.466666667,34.66666667,25,47,34.66666667
Real Madrid,1.5,0-0,1.766666667,Real Madrid,59.33333333,62,86.66666667,88.66666667,6.333333333,6,1.666666667,2,8,7.8,7.733333333,8.066666667,7.7,7.5,4,4,12.33333333,14,0.933333333,1.333333333,46.33333333,53,34.33333333,46.33333333
